Date,Inflation Rate
1/12/2022,0.0645
1/11/2022,0.0711
1/10/2022,0.0775
1/09/2022,0.082
1/08/2022,0.0826
1/07/2022,0.0853
1/06/2022,0.0906
1/05/2022,0.0858
1/04/2022,0.0826
1/03/2022,0.0854
1/02/2022,0.0787
1/01/2022,0.0748
1/12/2021,0.0704
1/11/2021,0.0681
1/10/2021,0.0622
1/09/2021,0.0539
1/08/2021,0.0525
1/07/2021,0.0537
1/06/2021,0.0539
1/05/2021,0.0499
1/04/2021,0.0416
1/03/2021,0.0262
1/02/2021,0.0168
1/01/2021,0.014
1/12/2020,0.0136
1/11/2020,0.0118
1/10/2020,0.0118
1/09/2020,0.0137
1/08/2020,0.0131
1/07/2020,0.0099
1/06/2020,0.0065
1/05/2020,0.0012
1/04/2020,0.0033
1/03/2020,0.0154
1/02/2020,0.0234
1/01/2020,0.0249
1/12/2019,0.0229
1/11/2019,0.0205
1/10/2019,0.0176
1/09/2019,0.0171
1/08/2019,0.0175
1/07/2019,0.0181
1/06/2019,0.0165
1/05/2019,0.0179
1/04/2019,0.02
1/03/2019,0.0186
1/02/2019,0.0152
1/01/2019,0.0155
1/12/2018,0.0191
1/11/2018,0.0218
1/10/2018,0.0252
1/09/2018,0.0228
1/08/2018,0.027
1/07/2018,0.0295
1/06/2018,0.0287
1/05/2018,0.028
1/04/2018,0.0246
1/03/2018,0.0236
1/02/2018,0.0221
1/01/2018,0.0207
1/12/2017,0.0211
1/11/2017,0.022
1/10/2017,0.0204
1/09/2017,0.0223
1/08/2017,0.0194
1/07/2017,0.0172
1/06/2017,0.0163
1/05/2017,0.0187
1/04/2017,0.022
1/03/2017,0.0238
1/02/2017,0.0274
1/01/2017,0.025
1/12/2016,0.0208
1/11/2016,0.0169
1/10/2016,0.0164
1/09/2016,0.0146
1/08/2016,0.0106
1/07/2016,0.0084
1/06/2016,0.0101
1/05/2016,0.0102
1/04/2016,0.0113
1/03/2016,0.0085
1/02/2016,0.0102
1/01/2016,0.0137
1/12/2015,0.0073
1/11/2015,0.005
1/10/2015,0.0017
1/09/2015,-0.0004
1/08/2015,0.002
1/07/2015,0.0017
1/06/2015,0.0012
1/05/2015,-0.0004
1/04/2015,-0.002
1/03/2015,-0.0007
1/02/2015,-0.0003
1/01/2015,-0.0009
1/12/2014,0.0076
1/11/2014,0.0132
1/10/2014,0.0166
1/09/2014,0.0166
1/08/2014,0.017
1/07/2014,0.0199
1/06/2014,0.0207
1/05/2014,0.0213
1/04/2014,0.0195
1/03/2014,0.0151
1/02/2014,0.0113
1/01/2014,0.0158
1/12/2013,0.015
1/11/2013,0.0124
1/10/2013,0.0096
1/09/2013,0.0119
1/08/2013,0.0152
1/07/2013,0.0196
1/06/2013,0.0175
1/05/2013,0.0136
1/04/2013,0.0106
1/03/2013,0.0147
1/02/2013,0.0198
1/01/2013,0.016
1/12/2012,0.0174
1/11/2012,0.0176
1/10/2012,0.0216
1/09/2012,0.0199
1/08/2012,0.0169
1/07/2012,0.0141
1/06/2012,0.0166
1/05/2012,0.017
