"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","762.14","779.97","797.27","748.17","129.78M","-2.18%"
"01/12/2022","779.13","801.60","806.73","771.71","2.38B","-3.11%"
"01/11/2022","804.18","759.29","804.18","734.62","2.53B","6.20%"
"01/10/2022","757.25","699.59","763.53","689.39","2.79B","8.83%"
"01/09/2022","695.78","756.68","773.84","695.69","2.82B","-8.33%"
"01/08/2022","758.98","772.50","804.67","758.98","2.39B","-1.88%"
"01/07/2022","773.50","750.18","780.83","744.23","2.43B","3.13%"
"01/06/2022","750.05","773.75","773.99","705.68","3.01B","-2.87%"
"01/05/2022","772.20","815.54","816.93","721.00","3.21B","-4.73%"
"01/04/2022","810.50","793.30","849.55","789.80","2.51B","2.40%"
"01/03/2022","791.47","778.83","797.63","743.87","3.28B","1.41%"
"01/02/2022","780.49","791.57","805.26","752.97","2.60B","-1.50%"
"01/01/2022","792.38","799.76","815.38","769.15","2.93B","-1.52%"
"01/12/2021","804.60","736.29","805.81","728.64","2.87B","9.95%"
"01/11/2021","731.76","741.73","762.74","731.00","2.34B","-1.26%"
"01/10/2021","741.09","716.49","746.87","708.40","2.26B","3.71%"
"01/09/2021","714.58","749.32","755.83","714.58","2.44B","-4.49%"
"01/08/2021","748.14","739.25","757.76","730.55","2.08B","1.28%"
"01/07/2021","738.72","722.47","743.21","715.58","2.24B","2.37%"
"01/06/2021","721.62","728.10","734.48","706.08","2.52B","-0.53%"
"01/05/2021","725.46","714.58","735.28","712.86","2.35B","1.65%"
"01/04/2021","713.69","699.18","723.68","693.03","2.50B","2.03%"
"01/03/2021","699.46","654.41","711.65","644.47","3.42B","7.71%"
"01/02/2021","649.39","660.00","682.92","649.09","2.45B","-1.50%"
"01/01/2021","659.25","695.33","695.97","659.03","2.88B","-5.32%"
"01/12/2020","696.32","689.49","697.47","681.62","2.57B","1.45%"
"01/11/2020","686.37","649.05","698.78","644.94","2.52B","7.34%"
"01/10/2020","639.46","660.64","687.66","632.13","2.28B","-2.99%"
"01/09/2020","659.14","671.07","691.92","636.10","3.06B","-1.85%"
"01/08/2020","671.53","641.64","673.88","637.33","2.24B","4.60%"
"01/07/2020","642.01","601.36","645.40","601.14","2.76B","6.77%"
"01/06/2020","601.33","605.92","623.19","582.49","3.65B","-0.73%"
"01/05/2020","605.78","593.99","608.30","572.99","3.22B","1.38%"
"01/04/2020","597.56","544.62","623.70","542.43","3.48B","6.64%"
"01/03/2020","560.33","598.39","650.33","491.31","5.55B","-5.86%"
"01/02/2020","595.21","650.63","665.58","575.44","2.60B","-8.18%"
"01/01/2020","648.25","647.79","660.84","637.09","2.49B","0.20%"
"01/12/2019","646.97","633.46","651.63","630.15","2.27B","2.03%"
"01/11/2019","634.09","628.39","635.90","619.03","2.25B","1.08%"
"01/10/2019","627.29","629.94","631.63","613.23","2.55B","-0.33%"
"01/09/2019","629.38","619.43","632.38","615.25","2.62B","1.31%"
"01/08/2019","621.27","613.19","626.33","589.58","2.97B","1.64%"
