"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","700.58","672.34","714.94","636.34","143.29M","4.20%"
"01/12/2022","672.34","694.30","701.73","628.81","3.32B","-3.16%"
"01/11/2022","694.30","689.83","724.74","666.73","3.63B","0.65%"
"01/10/2022","689.83","552.56","699.92","552.56","4.02B","24.84%"
"01/09/2022","552.56","611.80","630.27","528.42","4.07B","-9.68%"
"01/08/2022","611.80","598.74","647.45","540.13","3.98B","2.18%"
"01/07/2022","598.74","546.24","600.40","499.09","3.58B","9.61%"
"01/06/2022","546.24","658.00","706.03","530.52","5.27B","-16.98%"
"01/05/2022","658.00","572.41","683.45","566.24","4.85B","14.95%"
"01/04/2022","572.41","581.93","619.90","540.48","3.89B","-1.64%"
"01/03/2022","581.93","534.95","607.27","532.72","7.02B","8.78%"
"01/02/2022","534.95","502.93","537.27","495.06","4.29B","6.37%"
"01/01/2022","502.93","422.74","511.38","422.74","4.56B","18.97%"
"01/12/2021","422.74","410.70","435.79","393.89","3.60B","2.93%"
"01/11/2021","410.70","436.19","450.54","408.30","3.75B","-5.84%"
"01/10/2021","436.19","395.88","450.83","395.88","4.19B","10.18%"
"01/09/2021","395.88","362.26","408.12","352.30","4.24B","9.28%"
"01/08/2021","362.26","372.99","382.50","338.39","3.55B","-2.88%"
"01/07/2021","372.99","407.37","417.85","350.69","3.66B","-8.44%"
"01/06/2021","407.37","389.82","423.12","389.82","4.26B","4.50%"
"01/05/2021","389.82","371.60","415.73","371.60","4.07B","4.90%"
"01/04/2021","371.60","369.89","386.60","349.33","3.73B","0.46%"
"01/03/2021","369.89","360.19","406.81","356.95","5.34B","2.69%"
"01/02/2021","360.19","296.52","379.30","293.59","4.33B","21.47%"
"01/01/2021","296.52","286.14","339.85","283.30","4.86B","3.63%"
"01/12/2020","286.14","274.42","313.40","273.78","5.03B","4.27%"
"01/11/2020","274.42","216.82","301.70","215.95","5.64B","26.57%"
"01/10/2020","216.82","227.49","240.14","204.51","5.43B","-4.69%"
"01/09/2020","227.49","266.50","267.82","224.26","5.39B","-14.64%"
"01/08/2020","266.50","272.09","298.49","264.15","4.15B","-2.05%"
"01/07/2020","272.09","287.46","292.49","260.78","4.97B","-5.35%"
"01/06/2020","287.46","291.59","351.11","276.11","6.62B","-1.42%"
"01/05/2020","291.59","289.65","303.18","259.46","5.78B","0.67%"
"01/04/2020","289.65","223.40","296.97","209.97","8.66B","29.66%"
"01/03/2020","223.40","343.53","359.75","172.45","10.45B","-34.97%"
"01/02/2020","343.53","405.45","417.44","325.99","3.93B","-15.27%"
"01/01/2020","405.45","456.46","465.54","403.32","3.71B","-11.18%"
"01/12/2019","456.46","431.37","460.55","423.57","3.23B","5.82%"
"01/11/2019","431.37","426.66","455.70","425.47","3.19B","1.10%"
"01/10/2019","426.66","437.13","442.54","410.74","3.52B","-2.40%"
"01/09/2019","437.13","422.09","464.84","413.63","3.53B","3.56%"
"01/08/2019","422.09","462.47","462.47","407.81","3.82B","-8.73%"
"01/07/2019","462.47","471.28","478.62","456.61","3.19B","-1.87%"
"01/06/2019","471.28","432.13","472.90","432.13","1.65B","9.07%"
"01/05/2019","432.10","489.38","490.31","431.64","","-11.70%"
"01/04/2019","489.38","489.45","509.02","485.54","","-0.01%"
"01/03/2019","489.45","479.94","498.87","465.50","","1.98%"
"01/02/2019","479.94","470.81","491.75","455.85","","1.94%"
"01/01/2019","470.81","424.07","472.83","416.10","","11.02%"
"01/12/2018","424.07","486.42","500.45","395.14","","-12.82%"
"01/11/2018","486.42","497.37","520.88","466.92","","-2.20%"
"01/10/2018","497.37","560.91","580.35","477.33","","-11.33%"
"01/09/2018","560.91","547.58","570.35","527.36","","2.43%"
"01/08/2018","547.58","569.16","569.16","528.23","","-3.79%"
"01/07/2018","569.16","561.54","576.58","547.23","","1.36%"
"01/06/2018","561.54","558.35","570.06","540.58","","0.57%"
"01/05/2018","558.35","544.56","583.43","534.67","","2.53%"
"01/04/2018","544.56","498.29","551.66","479.90","","9.29%"
"01/03/2018","498.29","490.67","509.72","482.60","","1.55%"
"01/02/2018","490.67","553.45","559.66","475.12","","-11.34%"
"01/01/2018","553.45","533.41","579.19","533.41","","3.76%"
"01/12/2017","533.41","509.28","537.60","503.02","","4.74%"
"01/11/2017","509.28","503.07","520.76","492.95","","1.23%"
"01/10/2017","503.07","506.72","510.24","491.89","","-0.72%"
"01/09/2017","506.72","461.61","509.70","460.71","","9.77%"
"01/08/2017","461.61","489.57","492.52","453.20","","-5.71%"
"01/07/2017","489.57","477.91","492.57","466.94","","2.44%"
"01/06/2017","477.91","479.19","494.36","469.60","","-0.27%"
"01/05/2017","479.19","498.95","505.08","476.76","","-3.96%"
"01/04/2017","498.95","514.01","525.26","493.65","","-2.93%"
"01/03/2017","514.01","519.74","532.27","498.30","","-1.10%"
"01/02/2017","519.74","534.34","540.25","513.99","","-2.73%"
"01/01/2017","534.34","554.50","564.80","529.13","","-3.64%"
"01/12/2016","554.50","544.67","573.70","543.53","","1.80%"
"01/11/2016","544.67","504.89","549.42","494.68","","7.88%"
"01/10/2016","504.89","520.35","530.12","504.01","","-2.97%"
"01/09/2016","520.35","505.45","527.42","487.10","","2.95%"
"01/08/2016","505.45","502.23","522.44","481.57","","0.64%"
"01/07/2016","502.23","512.39","523.21","489.18","","-1.98%"
"01/06/2016","512.39","496.54","519.84","481.34","","3.19%"
"01/05/2016","496.54","502.42","504.98","475.43","","-1.17%"
"01/04/2016","502.42","462.41","511.41","448.88","","8.65%"
"01/03/2016","462.41","423.54","476.10","422.01","","9.18%"
"01/02/2016","423.54","434.67","438.19","395.48","","-2.56%"
"01/01/2016","434.67","448.44","450.95","376.13","","-3.07%"
"01/12/2015","448.44","498.28","502.22","434.63","","-10.00%"
"01/11/2015","498.26","502.11","530.61","478.67","","-0.77%"
"01/10/2015","502.11","451.52","512.42","446.03","","11.25%"
"01/09/2015","451.33","484.21","484.21","437.25","","-6.79%"
"01/08/2015","484.21","508.05","515.24","432.11","","-4.69%"
"01/07/2015","508.05","551.11","552.04","501.16","","-7.81%"
"01/06/2015","551.11","571.41","575.84","547.33","","-3.55%"
"01/05/2015","571.41","602.89","610.82","568.42","","-5.22%"
"01/04/2015","602.89","565.76","608.27","563.14","","6.56%"
"01/03/2015","565.76","577.51","577.94","539.26","","-2.04%"
"01/02/2015","577.51","557.95","604.98","557.95","","3.51%"
"01/01/2015","557.95","586.59","590.73","533.63","","-4.88%"
"01/12/2014","586.59","584.36","607.22","534.01","","0.34%"
"01/11/2014","584.58","641.78","650.17","583.10","","-8.85%"
"01/10/2014","641.32","661.10","663.69","571.04","","-2.99%"
"01/09/2014","661.05","715.54","715.54","657.71","","-7.64%"
"01/08/2014","715.72","702.33","716.87","688.47","","1.83%"
"01/07/2014","702.87","728.00","736.09","702.86","","-3.40%"
"01/06/2014","727.63","693.81","738.71","690.52","","4.93%"
"01/05/2014","693.46","686.47","696.53","678.53","","1.05%"
"01/04/2014","686.29","653.21","692.35","648.15","","5.11%"
"01/03/2014","652.90","637.94","656.93","626.24","","2.28%"
"01/02/2014","638.36","610.56","644.58","597.91","","4.57%"
"01/01/2014","610.44","651.23","651.23","608.08","","-6.33%"
"01/12/2013","651.67","632.44","652.46","620.68","","3.00%"
"01/11/2013","632.66","629.70","645.83","620.67","","0.50%"
"01/10/2013","629.49","604.57","637.06","593.83","","4.07%"
"01/09/2013","604.86","597.07","623.08","595.44","","1.68%"
"01/08/2013","594.84","607.94","614.72","583.08","","-2.08%"
"01/07/2013","607.46","579.61","618.84","578.35","","5.00%"
"01/06/2013","578.54","591.38","599.93","562.11","","-2.09%"
"01/05/2013","590.86","578.54","614.69","569.01","","2.08%"
"01/04/2013","578.84","584.01","586.05","544.56","","-0.88%"
"01/03/2013","583.98","572.81","587.92","565.63","","1.85%"
"01/02/2013","573.39","573.65","583.52","556.55","","0.00%"
"01/01/2013","573.41","533.41","583.48","533.41","539.08M","7.59%"
"01/12/2012","532.96","530.57","545.84","520.07","3.31B","0.52%"
"01/11/2012","530.21","540.08","547.90","506.16","3.85B","-1.80%"
"01/10/2012","539.94","551.56","563.40","534.01","3.95B","-2.04%"
"01/09/2012","551.19","533.54","574.54","526.11","4.10B","3.31%"
"01/08/2012","533.54","523.70","544.46","513.29","4.40B","1.88%"
"01/07/2012","523.70","503.27","531.03","489.44","4.89B","4.06%"
"01/06/2012","503.27","476.51","503.37","459.95","5.91B","5.62%"
