"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","603.02","569.74","606.47","567.40","264.26M","5.84%"
"01/12/2022","569.74","602.43","604.68","553.14","5.41B","-5.43%"
"01/11/2022","602.43","563.91","602.43","549.57","5.17B","6.83%"
"01/10/2022","563.91","504.39","568.62","491.83","6.19B","11.80%"
"01/09/2022","504.39","547.82","576.99","501.46","5.55B","-7.93%"
"01/08/2022","547.82","560.04","596.97","547.63","4.63B","-2.18%"
"01/07/2022","560.04","523.35","561.72","505.01","5.01B","7.01%"
"01/06/2022","523.35","588.47","588.53","506.58","5.89B","-11.07%"
"01/05/2022","588.47","573.70","599.50","534.82","6.42B","2.57%"
"01/04/2022","573.70","637.61","642.41","572.09","6.16B","-10.02%"
"01/03/2022","637.61","639.85","665.67","589.15","7.70B","-0.35%"
"01/02/2022","639.85","649.52","687.41","611.28","5.74B","-1.49%"
"01/01/2022","649.52","650.04","693.52","612.65","7.00B","-0.08%"
"01/12/2021","650.04","630.37","658.83","619.97","5.54B","3.12%"
"01/11/2021","630.37","669.09","675.84","629.33","5.03B","-5.79%"
"01/10/2021","669.09","624.60","679.38","624.06","5.04B","7.12%"
"01/09/2021","624.60","637.25","647.57","599.92","5.76B","-1.99%"
"01/08/2021","637.26","606.90","647.71","600.21","5.06B","5.00%"
"01/07/2021","606.90","610.60","617.34","580.30","5.61B","-0.61%"
"01/06/2021","610.60","630.13","640.04","583.38","6.29B","-3.10%"
"01/05/2021","630.13","601.98","635.30","598.84","5.02B","4.68%"
"01/04/2021","601.98","565.72","608.14","565.72","5.71B","6.41%"
"01/03/2021","565.72","535.64","584.34","535.64","7.68B","5.62%"
"01/02/2021","535.64","480.98","560.84","480.98","5.50B","11.36%"
"01/01/2021","480.98","490.43","525.27","478.64","6.38B","-1.93%"
"01/12/2020","490.43","462.45","490.97","462.45","6.07B","6.05%"
"01/11/2020","462.45","396.09","475.73","396.09","6.87B","16.75%"
"01/10/2020","396.09","400.28","425.08","386.44","7.02B","-1.05%"
"01/09/2020","400.28","415.53","430.58","381.91","7.21B","-3.67%"
"01/08/2020","415.53","399.06","426.88","396.21","5.69B","4.13%"
"01/07/2020","399.06","385.49","406.73","373.80","7.44B","3.52%"
"01/06/2020","385.49","387.52","443.80","374.79","9.82B","-0.52%"
"01/05/2020","387.52","378.34","402.99","332.96","8.23B","2.43%"
"01/04/2020","378.34","346.02","393.01","321.56","9.25B","9.34%"
"01/03/2020","346.02","440.70","466.52","291.28","13.86B","-21.48%"
"01/02/2020","440.70","497.10","519.77","429.83","5.94B","-11.35%"
"01/01/2020","497.10","511.39","516.26","494.17","5.67B","-2.79%"
"01/12/2019","511.39","498.96","513.71","486.04","5.04B","2.49%"
"01/11/2019","498.96","475.99","500.68","475.99","4.53B","4.83%"
"01/10/2019","475.99","465.54","481.23","439.16","6.08B","2.24%"
"01/09/2019","465.54","445.65","474.05","437.22","5.58B","4.46%"
"01/08/2019","445.65","469.45","471.53","429.31","6.21B","-5.07%"
"01/07/2019","469.45","458.92","476.65","458.92","5.43B","2.29%"
"01/06/2019","458.92","430.65","460.21","429.62","2.88B","6.56%"
"01/05/2019","430.65","464.95","466.80","430.29","","-7.38%"
"01/04/2019","464.95","427.19","466.67","427.19","","8.84%"
"01/03/2019","427.19","439.26","450.44","416.91","","-2.75%"
"01/02/2019","439.26","429.90","444.19","419.94","","2.18%"
"01/01/2019","429.90","395.90","434.47","388.97","","8.59%"
"01/12/2018","395.90","447.08","454.65","366.74","","-11.45%"
"01/11/2018","447.08","435.85","455.88","429.54","","2.58%"
"01/10/2018","435.85","458.18","470.39","415.24","","-4.87%"
"01/09/2018","458.18","469.32","480.92","457.65","","-2.37%"
"01/08/2018","469.32","463.85","475.73","457.69","","1.18%"
"01/07/2018","463.85","441.15","470.54","437.94","","5.15%"
"01/06/2018","441.15","450.24","467.87","437.20","","-2.02%"
"01/05/2018","450.24","455.35","472.22","438.80","","-1.12%"
"01/04/2018","455.35","457.53","467.44","441.05","","-0.48%"
"01/03/2018","457.53","478.88","493.59","444.86","","-4.46%"
"01/02/2018","478.88","493.45","498.39","443.70","","-2.95%"
"01/01/2018","493.45","463.94","503.42","461.68","","6.36%"
"01/12/2017","463.94","455.61","469.36","446.25","","1.83%"
"01/11/2017","455.61","441.16","461.69","428.54","","3.28%"
"01/10/2017","441.16","429.08","446.62","428.68","","2.82%"
"01/09/2017","429.08","408.45","429.36","393.75","","5.05%"
"01/08/2017","408.45","416.17","424.01","403.59","","-1.85%"
"01/07/2017","416.17","409.59","420.09","408.27","","1.61%"
"01/06/2017","409.59","385.26","415.44","384.41","","6.31%"
"01/05/2017","385.26","390.76","398.97","380.73","","-1.41%"
"01/04/2017","390.76","394.58","399.85","380.09","","-0.97%"
"01/03/2017","394.58","406.39","419.11","382.01","","-2.90%"
"01/02/2017","406.38","387.01","409.03","383.32","","5.01%"
"01/01/2017","387.01","386.53","395.17","379.72","","0.12%"
"01/12/2016","386.53","372.54","395.12","372.54","","3.75%"
"01/11/2016","372.55","327.75","373.75","321.73","","13.67%"
"01/10/2016","327.75","320.82","331.19","317.40","","2.16%"
"01/09/2016","320.82","330.28","331.36","314.86","","-2.87%"
"01/08/2016","330.28","318.90","330.46","314.46","","3.57%"
"01/07/2016","318.90","308.39","320.11","298.94","","3.41%"
"01/06/2016","308.39","319.34","320.70","287.94","","-3.43%"
"01/05/2016","319.34","313.64","321.64","306.58","","1.82%"
"01/04/2016","313.64","303.71","320.36","294.70","","3.27%"
"01/03/2016","303.71","283.61","308.22","283.61","","7.09%"
