"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","855.73","834.40","871.32","824.09","172.06M","2.93%"
"01/12/2022","831.40","861.17","867.38","815.55","3.57B","-3.11%"
"01/11/2022","858.06","803.25","858.08","774.89","3.71B","7.57%"
"01/10/2022","797.71","708.68","802.82","700.26","4.47B","13.86%"
"01/09/2022","700.60","778.77","811.92","700.40","4.40B","-10.56%"
"01/08/2022","783.36","804.58","852.58","782.71","3.87B","-3.08%"
"01/07/2022","808.28","737.98","810.19","712.77","3.88B","9.46%"
"01/06/2022","738.41","802.47","820.16","712.82","4.42B","-7.50%"
"01/05/2022","798.27","804.01","836.62","742.84","4.58B","-0.78%"
"01/04/2022","804.56","873.74","874.49","802.86","4.48B","-7.57%"
"01/03/2022","870.46","841.33","889.81","818.32","6.17B","3.29%"
"01/02/2022","842.73","859.34","871.41","788.64","4.41B","-1.13%"
"01/01/2022","852.34","896.10","912.42","820.24","4.47B","-4.76%"
"01/12/2021","894.96","861.15","899.22","838.31","4.44B","5.22%"
"01/11/2021","850.54","885.08","909.29","849.35","3.97B","-3.71%"
"01/10/2021","883.30","832.04","891.31","824.65","3.68B","6.83%"
"01/09/2021","826.83","882.46","887.42","826.79","4.15B","-6.22%"
"01/08/2021","881.64","876.87","892.85","859.60","3.67B","0.92%"
"01/07/2021","873.59","870.21","878.07","835.34","5.13B","0.85%"
"01/06/2021","866.24","894.71","896.71","839.21","5.01B","-2.28%"
"01/05/2021","886.44","866.58","902.76","850.84","4.93B","2.89%"
"01/04/2021","861.51","833.17","868.51","830.15","5.08B","3.55%"
"01/03/2021","831.98","774.61","839.21","758.16","7.66B","8.82%"
"01/02/2021","764.55","723.56","790.84","718.29","5.20B","6.63%"
"01/01/2021","717.01","749.89","766.80","714.55","6.39B","-4.34%"
"01/12/2020","749.54","749.52","756.14","731.20","7.12B","1.12%"
"01/11/2020","741.25","647.82","760.26","646.34","7.98B","15.64%"
"01/10/2020","641.01","654.93","693.96","631.03","7.65B","-1.49%"
"01/09/2020","650.68","653.76","676.34","628.94","7.78B","-0.84%"
"01/08/2020","656.22","606.99","664.60","603.15","7.27B","8.31%"
"01/07/2020","605.88","586.74","617.45","565.82","8.72B","4.28%"
"01/06/2020","581.00","569.64","643.96","555.15","13.77B","1.90%"
"01/05/2020","570.15","533.88","585.07","480.69","10.40B","5.13%"
"01/04/2020","542.35","476.03","559.34","469.79","11.58B","8.66%"
"01/03/2020","499.12","621.83","651.08","403.78","11.04B","-19.29%"
"01/02/2020","618.39","686.45","719.17","599.43","4.26B","-9.61%"
"01/01/2020","684.12","690.46","714.95","681.48","4.52B","-0.51%"
"01/12/2019","687.60","689.30","693.51","665.92","3.48B","-0.16%"
"01/11/2019","688.72","664.92","694.88","664.92","3.34B","4.14%"
"01/10/2019","661.33","657.50","669.35","617.19","4.36B","0.98%"
"01/09/2019","654.89","630.88","669.37","623.40","3.56B","2.93%"
"01/08/2019","636.24","654.89","659.05","606.84","4.86B","-2.95%"
"01/07/2019","655.57","656.61","665.77","642.64","3.82B","0.60%"
"01/06/2019","651.69","605.20","655.65","603.83","1.86B","7.75%"
"01/05/2019","604.80","658.29","661.11","604.42","","-8.08%"
"01/04/2019","657.97","636.00","665.02","633.46","","4.05%"
"01/03/2019","632.36","643.19","646.56","612.33","","-1.24%"
"01/02/2019","640.33","604.37","647.34","603.13","","6.06%"
"01/01/2019","603.74","536.68","606.56","526.11","","11.36%"
"01/12/2018","542.16","618.08","623.49","504.57","","-10.81%"
