"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","2,385.9","2,172.2","2,402.8","2,108.9","577.58M","9.84%"
"01/12/2022","2,172.2","2,372.0","2,427.8","2,117.2","9.79B","-8.42%"
"01/11/2022","2,372.0","2,241.1","2,372.0","2,066.7","11.15B","5.84%"
"01/10/2022","2,241.1","2,079.9","2,276.2","1,980.5","12.14B","7.75%"
"01/09/2022","2,079.9","2,364.7","2,439.1","2,079.4","11.84B","-12.05%"
"01/08/2022","2,364.7","2,522.6","2,656.2","2,364.3","10.64B","-6.26%"
"01/07/2022","2,522.6","2,223.0","2,529.6","2,186.1","9.78B","13.48%"
"01/06/2022","2,223.0","2,452.9","2,504.7","2,136.3","11.34B","-9.37%"
"01/05/2022","2,452.9","2,478.0","2,614.5","2,215.2","13.74B","-1.01%"
"01/04/2022","2,478.0","2,794.1","2,843.3","2,450.9","10.52B","-11.31%"
"01/03/2022","2,794.1","2,701.1","2,881.4","2,469.8","13.54B","3.44%"
"01/02/2022","2,701.1","2,843.9","2,881.0","2,483.2","11.68B","-5.02%"
"01/01/2022","2,843.9","3,055.4","3,094.4","2,563.2","12.02B","-6.92%"
"01/12/2021","3,055.4","2,956.9","3,113.2","2,861.0","11.21B","3.33%"
"01/11/2021","2,956.9","2,836.9","3,056.9","2,818.6","10.60B","4.23%"
"01/10/2021","2,836.9","2,623.8","2,838.2","2,580.3","8.25B","8.12%"
"01/09/2021","2,623.8","2,786.1","2,808.3","2,623.8","8.31B","-5.82%"
"01/08/2021","2,786.1","2,693.6","2,804.7","2,654.1","9.24B","3.44%"
"01/07/2021","2,693.6","2,594.5","2,717.1","2,581.4","8.47B","3.82%"
"01/06/2021","2,594.5","2,426.9","2,600.1","2,395.4","8.12B","6.90%"
"01/05/2021","2,426.9","2,452.6","2,471.9","2,298.8","8.44B","-1.05%"
"01/04/2021","2,452.6","2,331.1","2,526.5","2,331.1","8.74B","5.22%"
"01/03/2021","2,331.1","2,294.3","2,372.3","2,188.2","11.59B","1.64%"
"01/02/2021","2,293.4","2,269.1","2,446.7","2,255.8","8.37B","1.07%"
"01/01/2021","2,269.1","2,291.3","2,374.8","2,218.8","9.79B","-0.97%"
"01/12/2020","2,291.3","2,168.1","2,313.4","2,158.3","9.40B","5.68%"
"01/11/2020","2,168.1","1,948.7","2,202.5","1,936.1","9.11B","11.26%"
"01/10/2020","1,948.7","2,054.6","2,185.9","1,927.6","10.34B","-5.15%"
"01/09/2020","2,054.6","2,172.2","2,239.9","1,920.3","12.20B","-5.42%"
"01/08/2020","2,172.2","1,942.4","2,184.5","1,942.4","8.76B","11.83%"
"01/07/2020","1,942.4","1,840.1","1,942.8","1,821.0","8.97B","5.56%"
"01/06/2020","1,840.1","1,718.5","1,861.7","1,704.5","9.68B","7.08%"
"01/05/2020","1,718.5","1,608.6","1,729.4","1,549.1","8.64B","6.83%"
"01/04/2020","1,608.6","1,414.4","1,620.2","1,336.5","10.42B","13.73%"
"01/03/2020","1,414.4","1,549.2","1,657.2","1,198.7","15.93B","-8.71%"
"01/02/2020","1,549.2","1,673.9","1,804.2","1,476.2","8.95B","-7.45%"
"01/01/2020","1,673.9","1,611.2","1,735.0","1,602.4","7.99B","3.89%"
"01/12/2019","1,611.2","1,543.0","1,620.0","1,491.4","7.06B","4.42%"
"01/11/2019","1,543.0","1,467.2","1,548.4","1,467.2","6.92B","5.16%"
"01/10/2019","1,467.2","1,413.4","1,475.1","1,356.4","7.55B","3.81%"
"01/09/2019","1,413.4","1,393.3","1,442.6","1,370.6","7.30B","1.44%"
"01/08/2019","1,393.3","1,417.3","1,449.6","1,318.6","8.95B","-1.70%"
"01/07/2019","1,417.3","1,372.6","1,452.8","1,372.6","7.62B","3.26%"
"01/06/2019","1,372.6","1,258.6","1,386.8","1,227.9","4.41B","9.05%"
"01/05/2019","1,258.6","1,381.8","1,398.5","1,257.8","","-8.91%"
"01/04/2019","1,381.8","1,299.2","1,394.4","1,299.2","","6.36%"
"01/03/2019","1,299.2","1,240.2","1,321.1","1,205.7","","4.75%"
"01/02/2019","1,240.2","1,163.2","1,251.5","1,162.9","","6.63%"
"01/01/2019","1,163.2","1,088.3","1,169.3","1,032.4","","6.88%"
"01/12/2018","1,088.3","1,189.9","1,219.0","1,011.0","","-8.54%"
"01/11/2018","1,189.9","1,215.7","1,247.2","1,109.0","","-2.12%"
"01/10/2018","1,215.7","1,322.1","1,338.9","1,150.9","","-8.05%"
"01/09/2018","1,322.1","1,327.2","1,327.2","1,283.0","","-0.39%"
"01/08/2018","1,327.2","1,243.4","1,334.9","1,243.4","","6.74%"
"01/07/2018","1,243.4","1,218.6","1,309.6","1,206.3","","2.04%"
"01/06/2018","1,218.6","1,223.4","1,272.0","1,204.0","","-0.39%"
"01/05/2018","1,223.4","1,142.0","1,234.6","1,137.8","","7.13%"
"01/04/2018","1,142.0","1,141.6","1,192.5","1,100.3","","0.03%"
"01/03/2018","1,141.6","1,188.6","1,244.7","1,110.8","","-3.95%"
"01/02/2018","1,188.6","1,189.9","1,214.5","1,057.5","","-0.11%"
"01/01/2018","1,189.9","1,106.2","1,203.9","1,106.2","","7.57%"
"01/12/2017","1,106.2","1,106.5","1,130.3","1,072.3","","-0.03%"
"01/11/2017","1,106.5","1,096.3","1,127.2","1,087.9","","0.93%"
"01/10/2017","1,096.3","1,018.2","1,098.7","1,014.0","","7.67%"
"01/09/2017","1,018.2","1,012.1","1,020.4","989.1","","0.59%"
"01/08/2017","1,012.1","980.4","1,013.7","971.9","","3.24%"
"01/07/2017","980.4","940.3","1,001.0","930.8","","4.27%"
"01/06/2017","940.3","966.8","987.4","932.7","","-2.75%"
"01/05/2017","966.8","928.3","973.3","928.3","","4.15%"
"01/04/2017","928.3","906.2","929.8","888.2","","2.44%"
"01/03/2017","906.2","884.0","910.3","884.0","","2.51%"
"01/02/2017","884.0","843.0","888.7","843.0","","4.87%"
"01/01/2017","843.0","808.0","856.5","808.0","","4.34%"
"01/12/2016","808.0","795.9","828.1","774.8","","1.52%"
"01/11/2016","795.9","800.6","809.2","771.0","","-0.59%"
"01/10/2016","800.6","801.7","812.0","785.3","","-0.13%"
"01/09/2016","801.7","782.9","804.5","763.8","","2.40%"
"01/08/2016","782.9","768.7","789.2","761.8","","1.84%"
"01/07/2016","768.7","713.0","771.1","702.8","","7.81%"
"01/06/2016","713.0","733.6","734.6","676.7","","-2.80%"
"01/05/2016","733.6","696.8","733.7","690.0","","5.28%"
"01/04/2016","696.8","737.1","743.7","691.2","","-5.47%"
"01/03/2016","737.1","675.6","742.9","675.6","","9.10%"
"01/02/2016","675.6","686.2","689.9","627.0","","-1.53%"
"01/01/2016","686.2","721.5","721.5","633.0","","-4.90%"
"01/12/2015","721.5","738.7","751.4","710.0","","-2.33%"
"01/11/2015","738.7","734.3","751.5","711.3","","0.59%"
"01/10/2015","734.3","663.6","742.6","653.0","","10.67%"
"01/09/2015","663.5","670.6","691.8","644.1","","-1.05%"
"01/08/2015","670.6","712.1","716.5","610.9","","-5.82%"
"01/07/2015","712.0","691.8","734.3","680.4","","2.92%"
"01/06/2015","691.8","723.4","729.3","689.6","","-4.37%"
"01/05/2015","723.4","708.9","730.8","697.7","","2.04%"
"01/04/2015","708.9","693.1","726.7","683.8","","2.28%"
"01/03/2015","693.1","717.4","724.4","683.1","","-3.39%"
"01/02/2015","717.4","664.9","722.5","656.1","","7.89%"
"01/01/2015","664.9","692.0","698.4","661.7","","-3.91%"
"01/12/2014","692.0","702.6","710.3","663.1","","-1.74%"
"01/11/2014","704.2","670.6","706.2","669.2","","4.97%"
"01/10/2014","670.9","658.4","670.9","602.6","","1.66%"
"01/09/2014","659.9","665.9","672.1","651.0","","-0.75%"
"01/08/2014","664.9","639.7","666.1","630.4","","3.68%"
"01/07/2014","641.3","634.3","658.5","630.9","","1.40%"
"01/06/2014","632.5","619.0","634.6","613.9","","2.27%"
"01/05/2014","618.5","598.2","619.4","583.8","","3.49%"
"01/04/2014","597.6","597.4","606.7","573.1","","0.21%"
"01/03/2014","596.4","591.1","604.1","584.1","","0.21%"
"01/02/2014","595.1","570.3","599.1","555.9","","4.34%"
"01/01/2014","570.3","582.8","591.6","559.6","","-2.59%"
"01/12/2013","585.5","563.5","585.6","553.5","","4.11%"
