"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","525.46","489.63","529.73","484.64","71.39M","7.34%"
"01/12/2022","489.55","522.14","528.50","483.67","1.36B","-5.81%"
"01/11/2022","519.72","473.64","519.72","448.91","1.71B","11.50%"
"01/10/2022","466.12","433.78","471.58","420.72","1.69B","8.97%"
"01/09/2022","427.77","467.68","496.18","421.19","1.84B","-9.62%"
"01/08/2022","473.30","488.38","514.55","473.20","1.71B","-3.67%"
"01/07/2022","491.31","460.33","492.68","440.32","1.81B","6.08%"
"01/06/2022","463.16","539.11","552.14","456.75","1.99B","-14.08%"
"01/05/2022","539.06","534.85","556.02","500.77","2.10B","0.95%"
"01/04/2022","533.97","555.39","574.68","522.22","1.66B","-3.52%"
"01/03/2022","553.45","523.21","564.18","497.10","2.39B","5.82%"
"01/02/2022","523.00","532.95","548.06","498.48","1.78B","-1.43%"
"01/01/2022","530.58","569.80","580.07","508.53","1.74B","-6.86%"
"01/12/2021","569.63","536.45","572.53","524.83","1.60B","7.34%"
"01/11/2021","530.68","535.44","565.63","529.47","1.65B","-0.70%"
"01/10/2021","534.41","498.63","541.54","495.30","1.60B","7.61%"
"01/09/2021","496.64","536.00","539.28","492.40","1.59B","-7.43%"
"01/08/2021","536.52","529.55","543.44","517.32","1.44B","1.74%"
"01/07/2021","527.35","521.11","530.63","494.03","1.45B","2.00%"
"01/06/2021","517.02","552.90","556.10","505.43","1.82B","-5.54%"
"01/05/2021","547.32","525.26","560.11","525.17","1.77B","5.04%"
"01/04/2021","521.05","495.63","527.12","492.76","1.48B","5.32%"
"01/03/2021","494.71","466.89","503.56","453.12","2.13B","7.29%"
"01/02/2021","461.11","446.49","480.63","442.69","2.00B","3.66%"
"01/01/2021","444.85","460.10","489.58","440.58","2.05B","-2.38%"
"01/12/2020","455.71","452.15","456.39","438.27","1.50B","2.31%"
"01/11/2020","445.41","402.30","454.39","401.71","1.63B","12.23%"
"01/10/2020","396.87","401.50","420.95","386.98","1.59B","-0.78%"
"01/09/2020","400.01","395.16","420.79","383.66","1.79B","1.09%"
"01/08/2020","395.69","381.60","401.95","375.17","1.53B","4.19%"
"01/07/2020","379.77","354.98","393.80","350.84","1.82B","7.03%"
"01/06/2020","354.83","348.37","377.78","334.05","2.32B","1.85%"
"01/05/2020","348.38","320.68","350.82","303.97","1.87B","6.69%"
"01/04/2020","326.55","272.52","338.16","266.68","2.20B","15.29%"
"01/03/2020","283.23","333.03","355.56","240.45","3.36B","-14.35%"
"01/02/2020","330.67","363.21","384.16","320.55","2.00B","-8.65%"
"01/01/2020","361.99","387.77","388.65","360.81","2.00B","-6.18%"
"01/12/2019","385.85","374.40","386.71","366.37","1.66B","2.83%"
"01/11/2019","375.24","366.28","380.91","366.17","1.62B","2.88%"
"01/10/2019","364.73","365.72","370.45","345.54","1.86B","0.02%"
"01/09/2019","364.66","351.91","370.19","348.69","1.65B","2.93%"
"01/08/2019","354.28","364.79","370.56","341.96","1.80B","-3.08%"
"01/07/2019","365.54","368.37","373.40","359.02","1.63B","-0.44%"
"01/06/2019","367.14","331.59","367.25","330.41","1.01B","11.48%"
"01/05/2019","329.32","359.74","360.13","327.86","","-8.48%"
