"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","182.90","159.37","184.03","159.37","277.83M","14.76%"
"01/12/2022","159.37","172.94","174.97","155.05","6.46B","-7.85%"
"01/11/2022","172.94","161.86","172.94","149.17","7.14B","6.85%"
"01/10/2022","161.86","162.01","175.42","156.78","7.83B","-0.09%"
"01/09/2022","162.01","184.44","189.97","161.94","6.47B","-12.16%"
"01/08/2022","184.44","192.55","205.61","183.21","5.69B","-4.21%"
"01/07/2022","192.55","186.03","198.35","182.83","5.10B","3.50%"
"01/06/2022","186.03","201.56","206.03","179.80","4.94B","-7.70%"
"01/05/2022","201.56","198.03","212.03","185.28","6.05B","1.78%"
"01/04/2022","198.03","235.09","242.90","196.27","7.62B","-15.76%"
"01/03/2022","235.09","232.92","242.13","215.13","5.40B","0.93%"
"01/02/2022","232.92","250.41","264.87","217.29","5.70B","-6.98%"
"01/01/2022","250.41","267.48","270.69","233.23","5.78B","-6.38%"
"01/12/2021","267.48","260.90","273.65","255.62","5.30B","2.52%"
"01/11/2021","260.90","275.13","281.43","260.53","4.75B","-5.17%"
"01/10/2021","275.13","268.04","276.03","264.56","4.35B","2.65%"
"01/09/2021","268.04","286.95","289.48","268.00","3.76B","-6.59%"
"01/08/2021","286.95","273.30","287.57","269.18","3.20B","4.99%"
"01/07/2021","273.30","264.35","279.75","261.64","3.54B","3.39%"
"01/06/2021","264.35","257.37","266.75","253.94","3.79B","2.71%"
"01/05/2021","257.37","257.55","259.46","243.72","4.90B","-0.07%"
"01/04/2021","257.55","239.28","260.25","239.28","4.98B","7.64%"
"01/03/2021","239.28","232.08","244.97","229.66","6.63B","3.10%"
"01/02/2021","232.08","218.57","240.46","218.57","4.21B","6.18%"
"01/01/2021","218.57","221.92","229.27","211.93","4.88B","-1.51%"
"01/12/2020","221.92","215.31","224.21","215.21","4.16B","3.07%"
"01/11/2020","215.31","196.55","217.59","195.27","4.06B","9.54%"
"01/10/2020","196.55","195.49","205.67","192.81","4.19B","0.54%"
"01/09/2020","195.49","209.04","216.40","188.01","4.08B","-6.48%"
"01/08/2020","209.04","191.69","212.24","190.65","3.68B","9.05%"
"01/07/2020","191.69","179.88","195.12","179.88","4.40B","6.57%"
"01/06/2020","179.88","180.89","188.55","172.44","5.16B","-0.56%"
"01/05/2020","180.89","170.66","183.21","165.53","4.70B","5.99%"
"01/04/2020","170.66","150.35","172.09","142.07","5.11B","13.51%"
"01/03/2020","150.35","171.25","179.59","133.01","7.75B","-12.20%"
"01/02/2020","171.25","182.84","193.56","164.84","4.20B","-6.34%"
"01/01/2020","182.84","181.64","192.12","181.64","3.72B","0.66%"
"01/12/2019","181.64","178.24","183.88","174.35","3.25B","1.91%"
"01/11/2019","178.24","171.82","179.30","171.82","3.51B","3.74%"
"01/10/2019","171.82","167.26","173.23","161.54","3.82B","2.73%"
"01/09/2019","167.26","166.58","173.07","164.28","3.44B","0.41%"
"01/08/2019","166.58","169.18","171.69","160.52","3.64B","-1.54%"
"01/07/2019","169.18","164.23","173.42","164.23","3.57B","3.01%"
"01/06/2019","164.23","157.52","166.19","151.78","1.81B","4.26%"
"01/05/2019","157.52","167.49","168.22","157.38","","-5.95%"
"01/04/2019","167.49","157.68","172.27","157.68","","6.22%"
"01/03/2019","157.68","154.00","160.71","153.41","","2.39%"
"01/02/2019","154.00","152.75","155.28","149.71","","0.82%"
"01/01/2019","152.75","138.78","153.30","136.70","","10.07%"
"01/12/2018","138.78","149.86","151.94","130.82","","-7.39%"
"01/11/2018","149.86","150.88","153.29","140.81","","-0.68%"
"01/10/2018","150.88","160.55","161.70","141.58","","-6.02%"
"01/09/2018","160.55","153.99","162.31","151.24","","4.26%"
"01/08/2018","153.99","149.60","159.45","148.93","","2.93%"
"01/07/2018","149.60","148.12","151.71","144.13","","1.00%"
"01/06/2018","148.12","144.87","152.30","143.66","","2.24%"
"01/05/2018","144.87","148.24","149.06","140.34","","-2.27%"
"01/04/2018","148.24","151.65","155.18","148.12","","-2.25%"
"01/03/2018","151.65","153.36","158.77","146.62","","-1.12%"
"01/02/2018","153.36","165.00","169.66","150.79","","-7.05%"
"01/01/2018","165.00","166.07","167.08","158.81","","-0.64%"
"01/12/2017","166.07","157.01","168.25","154.55","","5.77%"
"01/11/2017","157.01","148.26","157.90","140.82","","5.90%"
"01/10/2017","148.26","162.37","164.96","146.81","","-8.69%"
"01/09/2017","162.37","156.85","163.51","148.32","","3.52%"
"01/08/2017","156.85","161.84","163.82","155.23","","-3.08%"
"01/07/2017","161.84","154.03","163.21","147.47","","5.07%"
"01/06/2017","154.03","158.76","162.38","153.31","","-2.98%"
"01/05/2017","158.76","160.33","160.76","153.26","","-0.98%"
"01/04/2017","160.33","167.68","169.45","160.14","","-4.38%"
"01/03/2017","167.68","169.77","172.76","166.60","","-1.23%"
"01/02/2017","169.77","170.43","173.08","164.89","","-0.39%"
"01/01/2017","170.43","176.61","180.24","167.53","","-3.50%"
"01/12/2016","176.61","163.39","178.01","161.52","","8.09%"
"01/11/2016","163.39","157.79","167.78","152.54","","3.55%"
"01/10/2016","157.79","170.58","171.67","155.40","","-7.50%"
"01/09/2016","170.58","172.21","175.66","167.52","","-0.95%"
"01/08/2016","172.21","182.67","183.26","171.13","","-5.73%"
"01/07/2016","182.67","182.64","185.43","178.42","","0.02%"
"01/06/2016","182.64","167.07","183.16","164.61","","9.32%"
"01/05/2016","167.07","167.13","169.35","161.27","","-0.04%"
"01/04/2016","167.13","172.55","173.42","163.46","","-3.14%"
"01/03/2016","172.55","162.38","173.87","162.38","","6.26%"
"01/02/2016","162.38","158.12","164.31","156.62","","2.69%"
"01/01/2016","158.12","149.91","158.12","142.43","","5.48%"
"01/12/2015","149.91","147.38","152.65","144.36","","1.72%"
"01/11/2015","147.38","149.37","150.01","142.49","","-1.33%"
"01/10/2015","149.37","141.19","150.55","138.17","","5.79%"
"01/09/2015","141.19","146.61","147.83","139.07","","-3.70%"
"01/08/2015","146.61","151.71","154.01","135.80","","-3.36%"
"01/07/2015","151.71","153.47","155.45","148.59","","-1.15%"
"01/06/2015","153.47","157.11","158.20","152.38","","-2.32%"
"01/05/2015","157.11","160.09","160.82","153.91","","-1.86%"
"01/04/2015","160.09","152.93","161.50","152.51","","4.68%"
"01/03/2015","152.93","158.95","159.56","151.27","","-3.79%"
"01/02/2015","158.95","149.13","160.51","148.99","","6.58%"
"01/01/2015","149.13","152.55","155.95","147.62","","-2.24%"
"01/12/2014","152.55","162.56","162.83","146.36","","-6.19%"
"01/11/2014","162.61","160.84","165.24","157.54","","1.11%"
"01/10/2014","160.83","161.11","162.48","150.93","","-0.19%"
"01/09/2014","161.13","160.56","162.33","156.45","","0.35%"
"01/08/2014","160.57","162.29","162.65","155.98","","-1.07%"
"01/07/2014","162.31","158.28","172.46","157.76","","2.57%"
"01/06/2014","158.25","160.39","160.80","156.54","","-1.27%"
"01/05/2014","160.29","155.04","161.89","154.72","","3.39%"
"01/04/2014","155.04","154.39","158.70","150.87","","0.42%"
"01/03/2014","154.39","147.44","155.46","145.39","","4.67%"
"01/02/2014","147.50","149.05","150.75","143.28","","-1.04%"
"01/01/2014","149.05","155.36","155.71","144.66","","-4.16%"
"01/12/2013","155.52","156.04","156.04","150.02","","-0.34%"
"01/11/2013","156.05","160.22","162.58","154.68","","-2.63%"
"01/10/2013","160.27","149.31","162.05","146.71","","7.35%"
"01/09/2013","149.30","150.33","154.56","146.99","","-0.63%"
"01/08/2013","150.24","157.55","159.20","148.07","","-4.14%"
