"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","350.27","359.25","367.17","345.00","77.32M","-2.29%"
"01/12/2022","358.48","364.27","372.55","351.22","2.00B","-0.77%"
"01/11/2022","361.25","340.84","361.75","328.74","2.15B","6.51%"
"01/10/2022","339.18","338.49","350.08","306.73","2.59B","2.00%"
"01/09/2022","332.52","376.01","395.23","332.05","1.74B","-11.55%"
"01/08/2022","375.93","375.12","395.11","368.95","1.55B","0.07%"
"01/07/2022","375.65","357.88","377.25","344.89","1.46B","5.39%"
"01/06/2022","356.45","376.84","380.20","324.52","1.89B","-5.13%"
"01/05/2022","375.72","363.34","381.00","353.65","1.97B","3.82%"
"01/04/2022","361.88","377.97","392.38","361.33","1.69B","-4.29%"
"01/03/2022","378.12","342.93","381.68","338.07","2.14B","10.08%"
"01/02/2022","343.50","350.47","352.75","325.41","2.00B","-2.32%"
"01/01/2022","351.67","363.55","363.65","336.48","1.87B","-3.31%"
"01/12/2021","363.71","334.34","365.09","333.00","1.57B","9.36%"
"01/11/2021","332.59","340.02","344.99","332.31","1.49B","-2.13%"
"01/10/2021","339.84","326.60","344.73","323.55","1.42B","4.70%"
"01/09/2021","324.58","347.65","354.25","322.15","1.59B","-6.42%"
"01/08/2021","346.86","336.12","354.31","335.05","1.42B","3.50%"
"01/07/2021","335.12","320.84","340.57","320.84","1.43B","4.21%"
"01/06/2021","321.58","330.58","337.49","320.41","1.65B","-2.43%"
"01/05/2021","329.58","339.44","342.09","326.32","1.60B","-2.78%"
"01/04/2021","339.00","324.95","345.90","323.02","1.52B","4.22%"
"01/03/2021","325.26","298.16","327.67","294.84","2.20B","10.13%"
"01/02/2021","295.35","317.64","324.99","295.30","1.48B","-6.54%"
"01/01/2021","316.02","318.91","326.46","308.28","1.57B","-0.96%"
"01/12/2020","319.07","320.07","324.45","306.97","1.66B","0.42%"
"01/11/2020","317.73","319.82","344.81","316.56","1.68B","0.26%"
"01/10/2020","316.92","302.28","332.10","301.85","1.51B","4.99%"
"01/09/2020","301.86","298.47","308.16","288.38","1.53B","0.80%"
"01/08/2020","299.46","308.51","314.40","295.52","1.44B","-3.13%"
"01/07/2020","309.12","286.88","312.03","284.10","1.94B","7.72%"
"01/06/2020","286.96","301.64","318.22","278.63","2.02B","-5.00%"
"01/05/2020","302.05","287.67","303.36","271.74","1.77B","3.90%"
"01/04/2020","290.71","270.23","313.95","259.54","1.74B","3.17%"
"01/03/2020","281.77","315.17","347.26","220.86","2.98B","-10.22%"
"01/02/2020","313.85","350.74","359.84","306.40","1.52B","-10.35%"
"01/01/2020","350.08","328.65","352.39","322.65","1.44B","6.61%"
"01/12/2019","328.36","317.56","329.88","315.70","1.55B","3.14%"
"01/11/2019","318.36","326.19","327.22","310.68","1.63B","-2.30%"
"01/10/2019","325.85","327.84","329.58","319.61","1.56B","-0.80%"
"01/09/2019","328.49","315.94","330.47","312.78","1.43B","3.96%"
"01/08/2019","315.97","301.47","317.02","297.60","1.59B","4.66%"
"01/07/2019","301.90","302.91","311.03","299.23","1.38B","-0.38%"
"01/06/2019","303.04","294.69","310.60","291.53","770.52M","3.09%"
"01/05/2019","293.95","296.28","304.38","287.00","","-1.28%"
"01/04/2019","297.75","295.12","297.87","289.12","","0.88%"
"01/03/2019","295.15","287.70","299.29","285.79","","2.65%"
"01/02/2019","287.53","277.30","288.36","273.64","","3.55%"
"01/01/2019","277.67","267.70","278.60","261.61","","3.37%"
"01/12/2018","268.61","279.62","288.20","258.16","","-4.31%"
"01/11/2018","280.71","272.69","281.23","267.79","","3.06%"
"01/10/2018","272.38","266.78","281.53","264.05","","1.91%"
"01/09/2018","267.28","270.38","276.86","260.62","","-0.90%"
"01/08/2018","269.70","266.66","276.45","263.60","","0.59%"
"01/07/2018","268.11","263.49","270.08","258.86","","1.83%"
"01/06/2018","263.30","256.87","265.64","243.21","","2.46%"
